Country,ccode,year,Approval_Smoothed,Approval_Not_Smoothed,NET_Smoothed,NET_Not_Smoothed,Relative_Smoothed,Relative_Not_Smoothed
Argentina,Argentina,1983,67.252609,67.252609,,,,
Argentina,Argentina,1984,61.002979,61.002979,31.06811,30.668159,66.991211,66.815071
Argentina,Argentina,1985,58.382301,58.382301,24.682751,23.79504,64.587128,64.241173
Argentina,Argentina,1986,54.313831,54.313831,19.66444,19.017349,61.757271,61.414631
Argentina,Argentina,1987,48.490929,48.490929,15.42865,14.92729,59.434952,59.133949
Argentina,Argentina,1988,41.040192,41.040192,-1.757596,-2.8904209,48.882309,48.294552
Argentina,Argentina,1989,46.26585,46.26585,7.8769932,9.2187023,53.85141,54.51207
Argentina,Argentina,1990,49.765091,49.765091,11.41767,12.06289,57.335629,57.843868
Argentina,Argentina,1991,47.941799,47.941799,10.64369,10.7852,56.449661,56.509411
Argentina,Argentina,1992,46.080372,46.080372,7.4341602,7.4992352,54.766418,54.852501
Argentina,Argentina,1993,43.1945,43.1945,.84385878,.72549373,50.23999,50.20475
Argentina,Argentina,1994,44.535938,44.535938,-.037167761,.48359251,49.735821,50.05307
Argentina,Argentina,1995,42.29615,42.29615,-1.011703,-.38895631,49.23325,49.636169
Argentina,Argentina,1996,33.332069,33.332069,-16.466141,-17.10589,39.40675,38.99831
Argentina,Argentina,1997,33.973042,33.973042,-12.42433,-11.41923,42.149059,42.598579
Argentina,Argentina,1998,32.12389,32.12389,-23.19375,-22.662979,35.798389,36.31076
Argentina,Argentina,1999,42.17466,42.17466,-18.3468,-16.630171,38.62833,39.63625
Argentina,Argentina,2000,46.135551,46.135551,2.582963,5.5615239,51.183681,52.990509
Argentina,Argentina,2001,31.172791,31.172791,-13.61109,-14.67815,41.58466,40.891682
Argentina,Argentina,2002,30.174061,30.174061,-12.92732,-11.39281,41.429428,42.401272
Argentina,Argentina,2003,59.634048,59.634048,29.543619,33.75811,67.295738,69.58474
Argentina,Argentina,2004,59.26453,59.26453,30.326759,29.996849,68.667702,68.64756
Argentina,Argentina,2005,58.469601,58.469601,28.51227,27.958401,67.02478,66.706818
Argentina,Argentina,2006,58.857208,58.857208,32.02058,32.049759,69.498909,69.495193
Argentina,Argentina,2007,53.85907,53.85907,21.19714,19.53581,62.889462,61.90202
Argentina,Argentina,2008,42.811878,42.811878,4.4703002,3.3682201,53.032581,52.59417
